Data;Device ID;Link Quality Indicator;Operator;Sequence number;Timestamp;;Mensajes perdidos;Mensajes perdidos por dia;Mensajes enviados por dia
cd4c5f434e298340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3705;06-01-2020 0:14;1;0;;
cdcc5e433af98240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3704;06-01-2020 0:13;1;0;;
0000000087538140020200;004D54B4;Limit;SIGFOX_Chile_Mintek;3703;06-01-2020 0:02;1;0;;
66665d430c948140000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3701;05-01-2020 23:50;2;1;10;130
cd4c5e4339df8140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3700;05-01-2020 23:38;1;0;;
cdcc5f4392ee8140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3699;05-01-2020 23:26;1;0;;
66e65e43e8428240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3698;05-01-2020 23:14;1;0;;
cdcc604374b88240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3697;05-01-2020 23:02;1;0;;
9a196343a0808340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3696;05-01-2020 22:50;1;0;;
cdcc6243326e8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3695;05-01-2020 22:38;1;0;;
9a996043152e8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3693;05-01-2020 22:14;2;1;;
66e65f436ebe8240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3692;05-01-2020 22:11;1;0;;
0000000026538140020200;004D54B4;Average;SIGFOX_Chile_Mintek;3691;05-01-2020 22:02;1;0;;
00000000eaac8140020200;004D54B4;Average;SIGFOX_Chile_Mintek;3690;05-01-2020 21:52;1;0;;
000060438fa28140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3689;05-01-2020 21:49;1;0;;
33335d43718b8140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3688;05-01-2020 21:37;1;0;;
cdcc5f4347198240000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3687;05-01-2020 21:25;1;0;;
00005e43884c8240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3686;05-01-2020 21:13;1;0;;
33b36243425b8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3684;05-01-2020 20:49;2;1;;
33b3634386368340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3683;05-01-2020 20:37;1;0;;
00006443503f8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3682;05-01-2020 20:25;1;0;;
008061434cb48340000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3681;05-01-2020 20:13;1;0;;
66666143e4428340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3680;05-01-2020 20:13;1;0;;
00806143a7238340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3679;05-01-2020 20:12;1;0;;
00000000cc988240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3678;05-01-2020 20:01;1;0;;
000000000deb8240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3677;05-01-2020 19:51;1;0;;
9a196543ea4a8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3676;05-01-2020 19:49;1;0;;
66666443fe2d8340000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3675;05-01-2020 19:37;1;0;;
33336343bd488340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3674;05-01-2020 19:25;1;0;;
666663438c148340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3673;05-01-2020 19:13;1;0;;
33b36343e8358340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3672;05-01-2020 19:01;1;0;;
33b36343e0348340000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3671;05-01-2020 18:48;1;0;;
33b36443fe568340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3670;05-01-2020 18:36;1;0;;
66e66343ee408340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3669;05-01-2020 18:24;1;0;;
cd4c6343fe248340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3668;05-01-2020 18:12;1;0;;
9a196343a83f8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3667;05-01-2020 18:12;1;0;;
0000000034308240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3666;05-01-2020 18:00;1;0;;
0000000039f18240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3665;05-01-2020 17:51;1;0;;
cd4c634324338340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3664;05-01-2020 17:48;1;0;;
cd4c6443f0528340000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3663;05-01-2020 17:36;1;0;;
666663436d488340000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3662;05-01-2020 17:24;1;0;;
9a196343d7268340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3661;05-01-2020 17:12;1;0;;
9a196443f2668340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3660;05-01-2020 17:00;1;0;;
cdcc6243065c8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3659;05-01-2020 16:48;1;0;;
66e6634361488340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3658;05-01-2020 16:36;1;0;;
cdcc6343024e8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3657;05-01-2020 16:24;1;0;;
9a99634391338340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3656;05-01-2020 16:12;1;0;;
666662434d348340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3655;05-01-2020 16:00;1;0;;
cd4c6243b41a8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3654;05-01-2020 15:48;1;0;;
cdcc61436b4f8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3653;05-01-2020 15:36;1;0;;
9a196143965d8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3652;05-01-2020 15:24;1;0;;
0080614398288340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3651;05-01-2020 15:12;1;0;;
000000008e418140020200;004D54B4;Average;SIGFOX_Chile_Mintek;3649;05-01-2020 15:00;2;1;;
000000001a6a8140020200;004D54B4;Average;SIGFOX_Chile_Mintek;3648;05-01-2020 14:51;1;0;;
00806143bd8e8140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3647;05-01-2020 14:48;1;0;;
0000614361f78140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3645;05-01-2020 14:23;2;1;;
3333614322398240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3644;05-01-2020 14:11;1;0;;
66e66043f9918240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3643;05-01-2020 13:59;1;0;;
0000604330bd8240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3642;05-01-2020 13:47;1;0;;
9a995f43d8408340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3641;05-01-2020 13:35;1;0;;
00005e43ae138340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3640;05-01-2020 13:23;1;0;;
9a195b4379528340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3639;05-01-2020 13:11;1;0;;
cdcc5d4380298340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3638;05-01-2020 13:10;1;0;;
0000000064c78140020200;004D54B4;Average;SIGFOX_Chile_Mintek;3637;05-01-2020 12:59;1;0;;
00000000041c8240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3636;05-01-2020 12:52;1;0;;
66665f43ff1e8240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3635;05-01-2020 12:47;1;0;;
33335f43b2328240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3634;05-01-2020 12:35;1;0;;
66665f430e868240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3633;05-01-2020 12:23;1;0;;
00006043bbb08240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3632;05-01-2020 12:11;1;0;;
9a995f4370478340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3631;05-01-2020 11:59;1;0;;
cd4c5f43e5288340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3630;05-01-2020 11:47;1;0;;
33335f43e48b8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3629;05-01-2020 11:35;1;0;;
