Timestamp,Human readable date,Voltaje Batería,Context
1581507311272,2020-02-12 08:35:11,4.0933514,b'{}'
1581506408333,2020-02-12 08:20:08,4.093518,b'{}'
1581505505682,2020-02-12 08:05:05,4.0807266,b'{}'
1581505250994,2020-02-12 08:00:50,4.054347,b'{}'
1581504685485,2020-02-12 07:51:25,4.090632,b'{}'
1581503781267,2020-02-12 07:36:21,4.092413,b'{}'
1581502878358,2020-02-12 07:21:18,4.092827,b'{}'
1581501975405,2020-02-12 07:06:15,4.092082,b'{}'
1581501073219,2020-02-12 06:51:13,4.094093,b'{}'
1581500170189,2020-02-12 06:36:10,4.094512,b'{}'
1581499267456,2020-02-12 06:21:07,4.091297,b'{}'
1581498365290,2020-02-12 06:06:05,4.0893307,b'{}'
1581497462269,2020-02-12 05:51:02,4.0937076,b'{}'
1581496559245,2020-02-12 05:35:59,4.089428,b'{}'
1581495657234,2020-02-12 05:20:57,4.089837,b'{}'
1581494756289,2020-02-12 05:05:56,4.0944223,b'{}'
1581493852264,2020-02-12 04:50:52,4.091176,b'{}'
1581492949177,2020-02-12 04:35:49,4.0912423,b'{}'
1581492046236,2020-02-12 04:20:46,4.087507,b'{}'
1581491143206,2020-02-12 04:05:43,4.0909395,b'{}'
1581490241266,2020-02-12 03:50:41,4.089668,b'{}'
1581489339398,2020-02-12 03:35:39,4.100052,b'{}'
1581488437148,2020-02-12 03:20:37,4.0944023,b'{}'
1581487536123,2020-02-12 03:05:36,4.0929995,b'{}'
1581486633269,2020-02-12 02:50:33,4.0915537,b'{}'
1581485731095,2020-02-12 02:35:31,4.0966206,b'{}'
1581484828320,2020-02-12 02:20:28,4.093226,b'{}'
1581483926147,2020-02-12 02:05:26,4.092382,b'{}'
1581483024318,2020-02-12 01:50:24,4.0958033,b'{}'
1581482121406,2020-02-12 01:35:21,4.092399,b'{}'
1581481218554,2020-02-12 01:20:18,4.0921555,b'{}'
1581480316344,2020-02-12 01:05:16,4.0904546,b'{}'
1581479413236,2020-02-12 00:50:13,4.0926104,b'{}'
1581478510918,2020-02-12 00:35:10,4.0878305,b'{}'
1581477608139,2020-02-12 00:20:08,4.0952787,b'{}'
1581476705837,2020-02-12 00:05:05,4.0898185,b'{}'
1581476448381,2020-02-12 00:00:48,4.0496426,b'{}'
1581475833962,2020-02-11 23:50:33,4.0889397,b'{}'
1581474931279,2020-02-11 23:35:31,4.0898986,b'{}'
1581474029874,2020-02-11 23:20:29,4.0872507,b'{}'
1581473126993,2020-02-11 23:05:26,4.095005,b'{}'
1581472224057,2020-02-11 22:50:24,4.0972805,b'{}'
1581471321093,2020-02-11 22:35:21,4.092185,b'{}'
1581470418177,2020-02-11 22:20:18,4.098055,b'{}'
1581469517004,2020-02-11 22:05:17,4.0960317,b'{}'
1581468613967,2020-02-11 21:50:13,4.090624,b'{}'
1581467711204,2020-02-11 21:35:11,4.092063,b'{}'
1581466808971,2020-02-11 21:20:08,4.087304,b'{}'
1581465905860,2020-02-11 21:05:05,4.089421,b'{}'
