Timestamp,Human readable date,AvgSNR,Data,Diferencia,Duplicado,Estado de bateria,Estado de Sistema,Estado Voltaje AC,ID Dispositivo,ID Estación,ID Tipo de Dispositivo,Latitud,Longitud,Número de Secuencia,RSSI,SNR,TimeStamp,Voltaje AC,Voltaje Batería,context_AvgSNR,context_Data,context_Diferencia,context_Duplicado,context_Estado de bateria,context_Estado de Sistema,context_Estado Voltaje AC,context_ID Dispositivo,context_ID Estación,context_ID Tipo de Dispositivo,context_Latitud,context_Longitud,context_Número de Secuencia,context_RSSI,context_SNR,context_TimeStamp,context_Voltaje AC,context_Voltaje Batería
1582510838899,2020-02-23 23:20:38,13.61,0.0,3347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3348.0,-126.0,10.19,1582510837.0,224.2,4.0936484,b'{}',"b'{""data"":""333360432bff8240000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582509938756,2020-02-23 23:05:38,13.35,0.0,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3347.0,-126.0,12.92,1582509934.0,224.9,4.095496,b'{}',"b'{""data"":""66e660434e0e8340000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582509034484,2020-02-23 22:50:34,13.34,0.0,3345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3346.0,-122.0,15.05,1582509032.0,224.2,4.096369,b'{}',"b'{""data"":""3333604374158340000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582508130775,2020-02-23 22:35:30,14.25,0.0,3344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3345.0,-127.0,9.66,1582508129.0,223.3,4.0907288,b'{}',"b'{""data"":""cd4c5f4340e78240000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582507227837,2020-02-23 22:20:27,14.44,0.0,3343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3344.0,-126.0,9.43,1582507226.0,222.8,4.1072216,b'{}',"b'{""data"":""cdcc5e435c6e8340000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582506326428,2020-02-23 22:05:26,14.89,0.0,3342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3343.0,-127.0,11.67,1582506324.0,222.1,4.0931005,b'{}',"b'{""data"":""9a195e43aefa8240000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582505422796,2020-02-23 21:50:22,14.63,0.0,3341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3342.0,-124.0,12.26,1582505421.0,220.5,4.0985084,b'{}',"b'{""data"":""00805c43fb268340000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582504520509,2020-02-23 21:35:20,14.66,0.0,3340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3341.0,-128.0,9.38,1582504518.0,220.4,4.092772,b'{}',"b'{""data"":""66665c43fdf78240000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582503618572,2020-02-23 21:20:18,14.72,0.0,3338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3340.0,-126.0,11.59,1582503617.0,221.9,4.0934024,b'{}',"b'{""data"":""66e65d4327fd8240000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582501812821,2020-02-23 20:50:12,14.4,0.0,3337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3338.0,-126.0,10.81,1582501811.0,222.4,4.0912027,b'{}',"b'{""data"":""66665e4322eb8240000000""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
